typeCode,typeName,typeDesc,hairName,hairDesc
130,부드러운 원형,둥근 원형에 하트형의 넓은 이마를 더해 귀엽지만 퍼져 보일 수 있는 얼굴형입니다.,옆머리를 타이트하게 한 크롭컷,넓은 이마를 드러내되 양옆을 축소해 둥근 인상을 날렵하게 만들어 균형을 맞추는 헤어스타일입니다.
230,청순한 원형,원형의 부드러움에 하트형 이마가 더해져 상단이 강조된 얼굴형입니다.,가벼운 시스루 뱅과 턱선 아래로 떨어지는 C컬 미디엄 헤어,이마를 살짝 가리고 C컬로 둥근 형태를 세로로 늘려 귀엽고 여성스러운 분위기를 형성하는 헤어스타일입니다.
131,강한 원형,원형의 둥근 라인에 장방형의 길이를 더해 부드러우면서 세련된 얼굴형입니다.,윗머리에 적당한 볼륨을 주고 옆은 슬림하게 한 소프트 언더컷,둥근 인상을 세로로 보완하고 볼륨 조절로 균형감을 살려 세련된 느낌을 표현하는 헤어스타일입니다.
231,세련된 원형,둥근 원형에 세로 길이가 더해져 우아하지만 조화가 중요한 얼굴형입니다.,옆가르마와 자연스럽게 흐르는 레이어드 롱 웨이브,둥글고 긴 비율을 레이어와 웨이브로 부드럽게 조정해 우아한 이미지를 완성하는 헤어스타일입니다.
132,조화로운 원형,원형의 둥근 부드러움에 계란형의 균형감이 합쳐져 무난한 인상을 주는 얼굴형입니다.,깔끔한 리젠트 컷,둥근 얼굴을 세로로 길게 보여 균형을 잡고 깔끔한 이미지를 강화하는 헤어스타일입니다.
232,조화로운 원형,계란형 균형에 원형 부드러움이 더해져 다양한 스타일을 소화할 수 있는 얼굴형입니다.,볼륨 있는 뱅과 부드러운 웨이브 보브컷,둥근 얼굴형을 웨이브로 감싸고 뱅으로 포인트를 주어 사랑스럽고 균형 잡힌 인상을 연출하는 헤어스타일입니다.
134,카리스마 있는 원형형,둥근 부드러움에 각진 턱선이 더해져 독특한 조화를 이룰 수 있는 얼굴형입니다.,윗머리 볼륨을 살린 클래식 포마드,턱선을 또렷하게 살리며 둥근 형태를 세련되게 정돈해 균형감을 부여하는 헤어스타일입니다.
234,성숙한 원형,부드러운 원형에 각진 윤곽이 합쳐져 강하면서도 우아할 수 있는 얼굴형입니다.,얼굴 라인을 따라 흐르는 레이어드 미디엄 웨이브,또렷한 턱선을 부드러운 웨이브로 감싸 여성스럽고 고급스러운 분위기를 연출하는 헤어스타일입니다.
140,부드러운 각진형,각진 턱선에 하트형 이마가 더해져 입체적이지만 균형감이 어려울 수 있는 얼굴형입니다.,앞머리를 약간 내려 균형 잡는 투블록 컷,넓은 이마를 앞머리로 커버하고 각진 턱선을 부드럽게 완화해 자연스러운 남성미를 형성할 수 있는 헤어스타일입니다.
240,청순한 각진형,각진 윤곽에 하트형 이마가 결합되어 개성적이지만 이마-턱 대비로 어색할 수 있는 얼굴형입니다.,사이드 뱅과 부드러운 웨이브의 세미롱 스타일,넓은 이마를 사이드 뱅으로 가리고 턱선을 웨이브로 흐려 우아한 이미지를 가질 수 있는 헤어스타일입니다.
141,강한 각진형,길쭉하고 각진 형태로 카리스마 있으나 딱딱해 보일 수 있는 얼굴형입니다.,윗머리를 부드럽게 흐르는 리프컷,각진 윤곽에 부드러운 흐름을 더해 강함을 완화하고 세련된 느낌을 부각하는 헤어스타일입니다.
241,세련된 각진형,각지고 길게 늘어난 형태로 독특하지만 강한 인상을 주는 얼굴형입니다.,레이어드 롱 헤어에 굵은 컬,각진 라인을 컬로 중화하고 길이를 활용해 우아하고 매력적인 여성상을 연출하는 헤어스타일입니다.
142,조화로운 각진형,균형 잡힌 계란형에 각진 턱선을 더해 세련된 윤곽을 가지는 얼굴형입니다.,측면을 슬림하게 하고 윗머리를 올린 사이드 파트,각진 윤곽을 세련되게 드러내며 슬림한 측면으로 균형 잡힌 남성미를 강조하는 헤어스타일입니다.
242,조화로운 각진형,균형감 있는 계란형에 각진 선이 더해져 매력적이나 부드러움 감소할 수 있는 얼굴형입니다.,페이스 라인을 감싸는 레이어드 웨이브 롱 헤어,각진 턱선을 부드러운 웨이브로 감싸 균형 잡힌 우아한 이미지를 형성하는 헤어스타일입니다.
143,친근한 각진형,각진 턱선에 원형의 둥근 라인이 더해져 강하면서도 친근한 인상을 주는 얼굴형입니다.,옆머리를 짧게 한 크루컷,각진 턱선을 강조하며 둥근 라인을 깔끔하게 정리해 균형감을 제공하는 헤어스타일입니다.
243,어려보이는 각진형,뚜렷한 윤곽에 둥근 부드러움이 가미된 형태로 강약이 조화롭게 존재하는 얼굴형입니다.,자연스럽게 흐르는 웨이브 보브컷과 시스루 뱅,각진 선을 웨이브로 부드럽게 감싸고 둥근 라인과 조화시켜 친근하고 매력적인 인상을 연출하는 헤어스타일입니다.
